architecture_version,git_commit,stage,seed,status,selected_epoch,final_epoch,checkpoint,wandb_file,train_accuracy,train_ce_loss,val_accuracy,val_ce_loss,val_balanced_accuracy,val_auroc,val_majority_accuracy,val_empirical_prior_ce,val_positive_recall,val_negative_recall,val_mean_logit_std,val_population_logit_std,val_tail_logit_std,val_oracle_abundance_auroc,val_oracle_model_auroc_gap
18,0049da9b918526c5ab8bf52525221fa505db7dd6,A,42,completed,5,19,checkpoints/learnability_ladder/A/seed_42/epoch=005-val_accuracy=1.0000.ckpt,logs/wandb/offline-run-20260723_112109-ixdtrgxx/run-ixdtrgxx.wandb,1,3.152637873427011e-06,1,0.008890858851373196,1,1,0.5384615659713745,0.6901856660842896,1,1,2.26662015914917,0.01010205689817667,0.017192022874951363,,
18,a2323c303661ef5561c19cec5cdbf9f8e315fd5d,A,43,completed,5,19,checkpoints/learnability_ladder/A/seed_43/epoch=005-val_accuracy=1.0000.ckpt,logs/wandb/offline-run-20260723_112743-gdr56mb9/run-gdr56mb9.wandb,1,4.784669371815653e-08,1,5.987941676721675e-06,1,1,0.5384615659713745,0.6901856660842896,1,1,7.038408279418945,3.0221031011024024e-06,0.042317669838666916,,
18,a2323c303661ef5561c19cec5cdbf9f8e315fd5d,A,44,completed,5,19,checkpoints/learnability_ladder/A/seed_44/epoch=005-val_accuracy=1.0000.ckpt,logs/wandb/offline-run-20260723_113634-zc50qngy/run-zc50qngy.wandb,1,2.76742275673314e-06,1,0.010927422903478146,1,1,0.5384615659713745,0.6901856660842896,1,1,2.2769479751586914,0.00038938893703743815,0.011975018307566643,,
18,a2323c303661ef5561c19cec5cdbf9f8e315fd5d,B,42,completed,5,19,checkpoints/learnability_ladder/B/seed_42/epoch=005-val_accuracy=1.0000.ckpt,logs/wandb/offline-run-20260723_114325-on9a9hfp/run-on9a9hfp.wandb,1,1.9649029127322137e-05,1,1.722370507195592e-05,1,1,0.6189903616905212,0.6511010527610779,1,1,1.213685154914856,0.0010171083267778158,0.030492234975099564,,
18,a2323c303661ef5561c19cec5cdbf9f8e315fd5d,B,43,completed,5,19,checkpoints/learnability_ladder/B/seed_43/epoch=005-val_accuracy=1.0000.ckpt,logs/wandb/offline-run-20260723_123116-a47hxyu5/run-a47hxyu5.wandb,1,1.1558086043805815e-05,1,1.1009436093445402e-05,1,1,0.6189903616905212,0.6511010527610779,1,1,1.2411370277404785,0.050841670483350754,0.005094242747873068,,
18,a2323c303661ef5561c19cec5cdbf9f8e315fd5d,B,44,completed,5,19,checkpoints/learnability_ladder/B/seed_44/epoch=005-val_accuracy=1.0000.ckpt,logs/wandb/offline-run-20260723_124454-i28bsj4r/run-i28bsj4r.wandb,1,1.913974847411737e-05,1,1.742815766192507e-05,1,1,0.6189903616905212,0.6511010527610779,1,1,1.2471140623092651,0.0009959854651242495,0.008394554257392883,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C,42,completed,8,19,checkpoints/learnability_ladder/C/seed_42/epoch=008-val_ce_loss=0.6816.ckpt,logs/wandb/offline-run-20260723_150006-r24asmrl/run-r24asmrl.wandb,0.5530598163604736,0.6832360625267029,0.5725235939025879,0.6815809011459351,0.566964328289032,0.573409914970398,0.6002358198165894,0.6624745726585388,0.5648261308670044,0.5691024661064148,0.2161918431520462,0.0005337924812920392,0.00887090340256691,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C,43,completed,5,19,checkpoints/learnability_ladder/C/seed_43/epoch=005-val_ce_loss=0.6811.ckpt,logs/wandb/offline-run-20260723_155147-d60gkg0l/run-d60gkg0l.wandb,0.5531755089759827,0.6824276447296143,0.5636792182922363,0.68105149269104,0.5607916116714478,0.5858615040779114,0.6002358198165894,0.6624745726585388,0.5645826458930969,0.5570005178451538,0.16793422400951385,0.0028745101299136877,0.027020147070288658,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C,44,completed,16,19,checkpoints/learnability_ladder/C/seed_44/epoch=016-val_ce_loss=0.6809.ckpt,logs/wandb/offline-run-20260723_162917-cdag0lzj/run-cdag0lzj.wandb,0.5484856963157654,0.6839523315429688,0.551886796951294,0.680902898311615,0.5523444414138794,0.5814983248710632,0.6002358198165894,0.6624745726585388,0.5417245030403137,0.5629642605781555,0.2641947269439697,8.795220492174849e-05,0.00820332020521164,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C0,42,completed,11,19,checkpoints/learnability_ladder/C0/seed_42/epoch=011-val_ce_loss=0.0694.ckpt,logs/wandb/offline-run-20260723_201432-fsaxnej2/run-fsaxnej2.wandb,0.9718830585479736,0.07344475388526917,0.9711538553237915,0.06944006681442261,0.9697571992874146,0.9971458911895752,0.6124260425567627,0.6502603888511658,0.956444263458252,0.9830700755119324,0.8733887076377869,0.0002176952111767605,0.012214906513690948,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C0,43,completed,16,19,checkpoints/learnability_ladder/C0/seed_43/epoch=016-val_ce_loss=0.0692.ckpt,logs/wandb/offline-run-20260723_204243-7xa2ltbu/run-7xa2ltbu.wandb,0.9754629731178284,0.06738685071468353,0.9696745276451111,0.06916293501853943,0.9707890748977661,0.9976382255554199,0.6124260425567627,0.6502603888511658,0.9569208025932312,0.9846572279930115,0.8539890050888062,0.00025136396288871765,0.036693692207336426,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C0,44,completed,19,19,checkpoints/learnability_ladder/C0/seed_44/epoch=019-val_ce_loss=0.0622.ckpt,logs/wandb/offline-run-20260723_211134-o94fcjk8/run-o94fcjk8.wandb,0.9761512875556946,0.06605623662471771,0.9792899489402771,0.062245722860097885,0.9791951179504395,0.9983097314834595,0.6124260425567627,0.6502603888511658,0.9706612229347229,0.9877288341522217,0.8270851373672485,1.0627501069393475e-05,0.02458009123802185,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C1,42,completed,12,19,checkpoints/learnability_ladder/C1/seed_42/epoch=012-val_ce_loss=0.0399.ckpt,logs/wandb/offline-run-20260723_230523-npm37o59/run-npm37o59.wandb,0.9819402694702148,0.05001277104020119,0.9866864085197449,0.03988208249211311,0.9869257211685181,0.9993017315864563,0.6116864085197449,0.65256267786026,0.9856760501861572,0.9881753325462341,0.931387186050415,1.8468810480953834e-07,0.003019080962985754,,
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,C1,43,completed,19,19,checkpoints/learnability_ladder/C1/seed_43/epoch=019-val_ce_loss=0.0406.ckpt,logs/wandb/offline-run-20260723_233407-irio6jp5/run-irio6jp5.wandb,0.9831483364105225,0.04777514189481735,0.9852070808410645,0.040644627064466476,0.9839400053024292,0.9990842938423157,0.6116864085197449,0.65256267786026,0.9806547164916992,0.9872252345085144,0.9547204971313477,1.142346093274682e-07,0.0028839935548603535,,
